sample_key,row,col,u,v,n_supporting_detections,median_area_frac
CG CL 1,0,0,0.09092715836069212,0.8786586174587899,1,0.0009377204229623898
CG CL 1,0,0,0.3816568970099921,0.8749018237788039,1,0.0007761358303050288
CG CL 1,0,3,3.3456591580256085,0.8729412518464482,1,0.0006039555266537425
CG CL 1,0,0,0.7247620112659546,0.8788959115346745,1,0.001353602079473958
CG CL 1,0,1,1.9346445712741083,0.8740006695826488,1,0.0007019658533475516
CG CL 1,0,3,3.2361107069269623,0.8752965513560722,1,0.0008714972292503566
CG CL 1,0,0,0.4474116040232929,0.8825087280015609,1,0.0011708260648287466
CG CL 1,0,0,0.830759768159054,0.8796120243167765,1,0.0009085822177290952
CG CL 1,0,1,1.583057753800831,0.8847469469550139,1,0.0011973153423135597
CG CL 1,0,2,2.819882889336411,0.882044556930825,1,0.0010781135936319
CG CL 1,0,0,0.29174916916281957,0.8842703524927005,1,0.0008714972292503566
CG CL 1,0,1,1.223288504541999,0.8872032184303341,1,0.0012026131978105225
CG CL 1,0,1,1.3926461880608123,0.8854986298429338,1,0.0005960087434082985
CG CL 1,0,1,1.1224927969657619,0.8919785605403565,1,0.0010251350386622736
CG CL 1,0,2,2.5910408203932915,0.8886946316773333,1,0.0008688483015018752
CG CL 1,0,0,0.5722588728363055,0.8918642601143657,1,0.0010542732438955681
CG CL 1,0,3,3.4340183467407797,0.8926186409679513,1,0.0010807625213803814
CG CL 1,0,2,2.189445786969427,0.892276263388723,1,0.000786731541298954
CG CL 1,0,2,2.927397284943389,0.8941591374196797,1,0.0007655401193111035
CG CL 1,0,2,2.884380855159227,0.8956432991192157,1,0.0005854130324143733
CG CL 1,0,3,3.318755206063765,0.9002730124071071,1,0.0008026251077898421
CG CL 1,0,3,3.740008662446405,0.9016158121546638,1,0.0008688483015018752
CG CL 1,0,0,0.6276544813449462,0.9051067260356014,1,0.0010648689548894935
CG CL 1,0,1,1.9397469683367432,0.9017647752928635,1,0.0007761358303050288
CG CL 1,0,1,1.3481929261951764,0.9059619950732704,1,0.0009165290009745392
CG CL 1,0,2,2.6938125382457754,0.9043209345381924,1,0.0007840826135504728
CG CL 1,0,2,2.763067785969717,0.9035834400465246,1,0.0007522954805686969
CG CL 1,0,3,3.1326154979529024,0.9040589663071036,1,0.0006913701423536264
CG CL 1,0,3,3.936982200321551,0.9045247514029513,1,0.0007814336858019915
CG CL 1,0,2,2.1298133597050737,0.9121679631233102,1,0.0008079229632868047
CG CL 1,0,2,2.3113467931530263,0.9148928825454781,1,0.0012211556920498918
CG CL 1,0,2,2.3868435857269317,0.911486575897622,1,0.0008132208187837674
CG CL 1,0,2,2.4759559448356505,0.9127756571287265,1,0.0008873907957412445
CG CL 1,0,2,2.0778176321671205,0.9124443224053341,1,0.0004397220062479003
CG CL 1,0,2,2.3516146982893966,0.9179916246829709,1,0.0009059332899806138
CG CL 1,0,1,1.1057757580479675,0.9219719121478621,1,0.0007734869025565475
CG CL 1,0,2,2.872759520676398,0.9209244136458989,1,0.0009377204229623898
CG CL 1,0,0,0.8929895032177968,0.9209031522256318,1,0.0006066044544022239
CG CL 1,0,3,3.5795282814277973,0.921410709049186,1,0.0007416997695747715
CG CL 1,0,3,3.461073022157201,0.9185941829415857,1,0.00038674345127827375
CG CL 1,0,3,3.7961264806070503,0.9252318249331852,1,0.0008476568795140247
CG CL 1,0,0,0.21846125800362065,0.9280761663236267,1,0.0009350714952139084
CG CL 1,0,3,3.1615585582134877,0.9241607408438218,1,0.0006595830093718505
CG CL 1,0,2,2.6105712313975866,0.9280242893848973,1,0.0008317633130231366
CG CL 1,0,2,2.9082558011117507,0.9277450227981419,1,0.0006092533821507052
CG CL 1,0,3,3.2618981117661736,0.9262496672766258,2,0.0007919088117217022
CG CL 1,0,0,0.15070916234007975,0.932604964954897,1,0.0014118784899405472
CG CL 1,0,1,1.3752436821726033,0.9344350635071456,1,0.0010648689548894935
CG CL 1,0,2,2.243096718697558,0.9326307472623127,1,0.0007946783245443981
CG CL 1,0,2,2.6388798227226817,0.9360636383092978,1,0.0008079229632868047
CG CL 1,0,1,1.849614387793547,0.9396502289829344,1,0.0009297736397169457
CG CL 1,0,0,0.746582235998218,0.9455278049810146,1,0.0007920293967959167
CG CL 1,0,0,0.2811384774566485,0.9453114013628944,1,0.0006834233591081824
CG CL 1,0,2,2.2851585022655234,0.9470681981655492,1,0.0006516362261264065
CG CL 1,0,2,2.1655801667157295,0.9478136524060973,1,0.000664880864868813
CG CL 1,0,3,3.5500187705954867,0.9498997701810097,1,0.0005006473444629707
CG CL 1,0,1,1.3436629874636912,0.9563853189898708,1,0.0010118903999198669
CG CL 1,0,2,2.4278836255871865,0.9531783912732268,1,0.000550976971684116
